shot_id,rally_id,shot_num,time,start_frame_num,end_frame_num,player,ball_type,backhand,player_A_x,player_A_y,player_B_x,player_B_y,player_C_x,player_C_y,player_D_x,player_D_y,hit_x,hit_y,return_x,return_y,hit_height,return_height,flaw,type,match_id_x,set_id,match_id_y
1986,144,1,00:06:50,12308,12327,C,發短球,1,30.36037954,30.4148041,37.86548185,40.49441489,28.20272852,91.44464422,32.37220498,106.59072635,-162.10296095,457.53923087,672,433,2,2,0,defend,5.0,5,5
1987,144,2,00:06:50,12327,12343,B,小平球,1,30.56397834,29.86789948,37.28436572,46.02754554,26.90022248,90.98905664,32.52624138,108.59713385,34.00402441,60.73585632,779,329,2,2,0,defend,5.0,5,5
1988,144,3,00:06:51,12343,12351,D,防守回抽,1,31.66592257,26.90787032,34.87027853,51.49502951,32.50749603,90.13253297,41.37407698,107.65110815,49.31639347,104.23443353,658,463,2,1,0,defend,5.0,5,5
1989,144,4,00:06:51,12351,12364,B,推撲球,0,29.95684657,22.98658218,31.37708176,48.54760269,30.96535415,96.94685342,46.44208748,104.21530843,32.2810598,50.49791037,763,316,1,2,0,attack,5.0,5,5
1990,144,5,00:06:52,12364,12388,D,擋小球,0,27.78156737,22.97885691,25.10148199,41.64749308,25.20544202,106.54236337,47.5750155,107.19241151,47.5037797,110.73326058,750,455,2,2,0,defend,5.0,5,5
1991,144,6,00:06:52,12388,12414,B,放小球,0,30.35184076,22.47667281,34.05700908,43.2128512,25.54950976,111.09410951,49.67566007,109.72775589,42.70057227,53.19198354,683,380,2,2,0,defend,5.0,5,5
1992,144,7,00:06:53,12414,12462,D,挑球,0,31.53738837,22.73621925,34.85730973,50.8372721,25.47318652,107.04284163,41.2265372,93.33058367,35.70650981,81.12626076,818,624,2,1,0,defend,5.0,5,5
1993,144,8,00:06:55,12462,12481,A,殺球,0,43.57731847,6.70394238,37.28727442,35.78564759,23.90261791,109.55085858,45.82504236,110.72167284,46.55659341,7.37036656,504,342,1,2,0,attack,5.0,5,5
1994,144,9,00:06:56,12481,12506,C,防守回抽,0,43.30847162,10.94398629,31.09504171,34.6142961,21.69032015,109.02856743,41.34368882,114.31683496,12.11709994,97.76103632,502,608,2,1,0,defend,5.0,5,5
1995,144,10,00:06:56,12506,12517,A,殺球,0,21.15112226,9.96831681,21.63871143,33.72470198,16.3646435,113.0970063,37.15499667,110.66182649,17.38316563,10.86389676,522,312,1,2,0,attack,5.0,5,5
2061,150,1,00:09:58,17945,17968,A,發短球,1,32.00128403,43.51179552,29.46797966,21.20602891,21.30578724,94.57475372,31.26361569,105.09692425,-162.10296095,457.53923087,501,365,2,1,0,defend,5.0,5,5
2062,150,2,00:09:58,17968,17979,C,小平球,0,30.70597345,45.99839433,28.37900408,22.46970507,21.47984513,93.20738349,30.99075844,105.5888713,12.38252706,87.37202262,621,468,1,2,0,attack,5.0,5,5
2063,150,3,00:09:59,17979,17992,A,小平球,1,29.93920495,45.36697045,29.05919998,24.53218174,21.62157324,84.41192403,30.30089549,100.71996653,28.16149144,48.85516093,685,336,2,2,0,defend,5.0,5,5
2064,150,4,00:09:59,17992,18010,D,平球,0,29.83184313,43.81101342,31.05701483,25.84752711,24.17080311,84.42697087,35.06317425,102.67770757,36.38222081,100.75964256,831,556,2,2,0,defend,5.0,5,5
2065,150,5,00:10:00,18010,18021,B,平球,0,34.10738348,39.87960162,32.20624279,20.46223472,24.08188188,94.5922192,44.2290064,103.71149161,49.20064337,23.56908283,730,342,2,1,0,defend,5.0,5,5
2066,150,6,00:10:00,18021,18031,D,推撲球,1,38.30455275,40.79696935,42.77231641,22.2656857,23.09569692,102.59874719,46.84983758,101.78851445,42.34532979,97.95496671,681,497,1,2,0,attack,5.0,5,5
2067,150,7,00:10:01,18031,18046,A,防守回抽,0,34.18241707,38.1016405,40.28248757,21.74909176,26.129632,109.56614404,49.61021951,98.47175765,34.64130494,39.88184239,559,325,2,1,0,defend,5.0,5,5
2068,150,8,00:10:01,18046,18055,D,殺球,0,21.97091299,33.16173369,35.87736772,22.49618807,24.64509429,107.03723767,40.3865851,91.9690334,19.16276921,106.00471054,547,511,1,2,0,attack,5.0,5,5
2069,150,9,00:10:01,18055,18074,B,防守回抽,1,20.13955168,27.93331559,34.62154331,23.77489047,19.11772157,103.54487529,33.93362142,89.69784395,20.51505581,35.71789181,521,336,2,1,0,defend,5.0,5,5
2070,150,10,00:10:02,18074,18084,D,殺球,0,14.97517574,19.65524358,34.37149817,21.22310962,17.6684277,99.21010365,37.83885619,94.6787696,14.23278821,100.61513432,487,552,1,2,0,attack,5.0,5,5
2071,151,1,00:10:18,18564,18591,D,發短球,1,31.89791262,30.69558609,18.20444993,41.92171063,28.77009936,110.60394843,32.12647804,91.46885377,-162.10296095,457.53923087,634,442,2,2,0,defend,5.0,5,5
2072,151,2,00:10:19,18591,18601,B,小平球,0,31.90013538,30.97116842,19.78971863,47.53428103,29.61010126,109.59003278,30.93881887,87.92009716,29.58462136,57.55480388,637,371,2,1,0,defend,5.0,5,5
2073,151,3,00:10:20,18601,18614,D,小平球,0,31.90013538,30.97116842,22.00788947,53.7647847,29.89017015,107.57317322,31.17882163,83.19546425,29.90805221,84.88775214,699,510,1,1,0,attack,5.0,5,5
2074,151,4,00:10:20,18614,18627,A,推撲球,0,32.61847382,30.97393868,20.77905283,50.44496478,28.65298699,106.06857232,33.2886668,90.1373128,36.45626128,36.07077064,763,318,1,2,0,attack,5.0,5,5
2075,151,5,00:10:20,18627,18664,C,防守回挑,1,36.10061727,30.71174943,18.4505988,43.45303914,30.16698944,109.08658392,25.71829614,91.42931526,47.4446328,109.71244288,633,571,2,1,0,defend,5.0,5,5
2076,151,6,00:10:22,18664,18674,B,殺球,0,34.0800573,32.36798427,22.30771982,18.69172178,41.9302116,114.84615914,20.12840077,110.03375753,29.57001324,19.70524471,632,317,1,2,0,attack,5.0,5,5
2077,151,7,00:10:22,18674,18690,D,防守回抽,1,30.36581725,35.47001115,23.4608267,7.52220363,40.03117269,117.48602213,19.35822888,112.08106408,29.19080898,110.09613521,604,496,2,1,0,defend,5.0,5,5
2078,151,8,00:10:23,18690,18698,A,推撲球,0,27.71771043,38.36933615,21.08968929,11.33206276,39.94544932,114.83214403,20.28993427,113.64563912,26.41649829,40.1463232,503,317,1,2,0,attack,5.0,5,5
